Artist Name,Track Name,
"Johann+Sebastian+Bach,+Zhu+Xiao-Mei","Goldberg+Variations,+BWV+988:+Aria",
"Claude+Debussy,+Royal+Concertgebouw+Orchestra,+Bernard+Haitink","La+Mer,+L.109:+2.+Play+Of+The+Waves+(Jeux+de+vagues)",
"Ludwig+van+Beethoven,+Tokyo+String+Quartet","String+Quartet+No.+16,+Op.+135:+II.+Vivace",
"Richard+Wagner,+Mariss+Jansons,+Oslo+Philharmonic+Orchestra",Tannh_user:+Overture,
"Franz+Liszt,+Lise+de+la+Salle","St_ndchen,+en+r_+mineur+S.560",
"Ralph+Vaughan+Williams,+Sarah+Chang,+Bernard+Haitink,+London+Philharmonic+Orchestra",The+Lark+Ascending,
"Wolfgang+Amadeus+Mozart,+Imogen+Cooper,+Northern+Sinfonia","Concerto+for+Piano+and+Orchestra+No.+22,+K.+482:+III.+Allegro",
"Robert+Schumann,+Martha+Argerich","Kinderszenen,+Op.15:+7.+Tr_umerei",
"Franz+Joseph+Haydn,+Beaux+Arts+Trio","Piano+Trio+in+E+flat,+H.XV+No.10:+2.+Presto",
"Antonio+Vivaldi,+Fabio+Biondi","L%27Estate,+RV+315:+III.+Tempo+impetuoso+d%27Estate",
Richard+Goode,"Sonata+in+F+Major,+K.+533:+III.+Allegretto",
"Ludwig+van+Beethoven,+Nikolaus+Harnoncourt","Symphony+No.+4+in+B-Flat+Major,+Op.+60:+I.+Adagio+-+Allegro+vivace",
"Richard+Strauss,+Jessye+Norman,+Gewandhausorchester+Leipzig,+Kurt+Masur",Vier+letzte+Lieder:+2.+September,
"Felix+Mendelssohn,+Kyung+Wha+Chung,+Orchestre+Symphonique+de+Montr_al,+Charles+Dutoit","Violin+Concerto+In+E+Minor,+Op.64,+MWV+O14:+1.+Allegro+molto+appassionato",
"Wolfgang+Amadeus+Mozart,+Concerto+K_ln,+Ren_+Jacobs","Le+Nozze+di+Figaro,+K.+492:+Sinfonia",
"Sergei+Rachmaninoff,+Earl+Wild,+Royal+Philharmonic+Orchestra,+Jascha+Horenstein","Piano+Concerto+No.+3+in+D+Minor,+Op.+30:+III.+Finale:+Allegro",
"Josquin+des+Prez,+The+Hilliard+Ensemble,+Paul+Hillier",Missa+Hercules+dux+Ferrariae:+Sanctus,
"Edward+Elgar,+Sir+John+Barbirolli,+Dame+Janet+Baker,+London+Symphony+Orchestra","Elgar:+Sea+Pictures,+Op.+37:+IV.+Where+Corals+Lie+The+deeps+have+music""+(Allegretto+ma+non+troppo)""",
"Robert+Schumann,+Mitsuko+Uchida","Waldszenen,+Op.82:+3.+Einsame+Blumen",
"Franz+Schubert,+Mstislav+Rostropovich,+Emerson+String+Quartet","String+Quintet+In+C,+D.+956:+2.+Adagio",
"Igor+Stravinsky,+Sir+Simon+Rattle,+Berliner+Philharmoniker",Symphony+in+C:+Moderato+alla+breve,
"Franz+Schubert,+Paul+Lewis","Piano+Sonata+in+B+Flat+Major,+D.+960:+I.+Molto+moderato",
"Maurice+Ravel,+Krystian+Zimerman,+Cleveland+Orchestra,+Pierre+Boulez","Piano+Concerto+in+G+Major,+M.+83:+2.+Adagio+assai",
"Sergei+Prokofiev,+Cleveland+Orchestra,+Lorin+Maazel","Romeo+and+Juliet,+Op.64+-+Act+1:+Dance+Of+the+Knights",
"Wolfgang+Amadeus+Mozart,+Kristian+Bezuidenhout","Piano+Sonata+in+C+major,+K.+545:+I.+Allegro",
"Johann+Sebastian+Bach,+Susan+Hamilton,+William+Kendall,+Peter+Harvey,+The+Monteverdi+Choir,+English+Baroque+Soloists,+John+Eliot+Gardiner","Wachet+auf,+ruft+uns+die+Stimme,+BWV+140:+Chorale:+Zion+hort+die+Wachter+singen+(Chorus)",
"Franz+Schubert,+Radu+Lupu","4+Impromptus,+Op.90,+D.899:+No.4+in+A+Flat+Major:+Allegretto",
"Claudio+Monteverdi,+Rinaldo+Alessandrini",Psalmus+109.+dixit+dominus,
"Johann+Strauss+II,+Berliner+Philharmoniker,+Herbert+von+Karajan","An+der+sch_nen+blauen+Donau,+Op.314",
"+nicht+zu+schnell""","Symphony+No.+4+in+E-Flat+Major,+Romantic"":+I.+Bewegt",2016-06-27T21:44:26Z
"Carl+Orff,+Chor+der+Deutschen+Oper+Berlin,+Orchester+der+Deutschen+Oper+Berlin,+Eugen+Jochum","Carmina+Burana+/+2.+In+Taberna:+In+taberna+quando+sumus""""",
"Pyotr+Ilyich+Tchaikovsky,+Van+Cliburn,+Kirill+Kondrashin","Piano+Concerto+No.+1+in+B-Flat+Minor,+Op.+23:+Allegro+non+troppo+e+molto+maestoso",
"Felix+Mendelssohn,+London+Symphony+Orchestra,+Peter+Maag","Symphony+No.+3+In+A+Minor,+Op.+56,+MWV+N+18+-+Scottish"":+4.+Allegro+vivacissimo+-+Allegro+maestoso+assai""",
"Ludwig+van+Beethoven,+Leif+Ove+Andsnes","Concerto+for+Piano+and+Orchestra+No.+4+in+G+Major,+Op.+58:+II.+Andante+con+moto",
"Dmitri+Shostakovich,+Leonard+Bernstein,+New+York+Philharmonic","Symphony+No.+5+in+D+Minor,+Op.+47:+I.+Moderato",
"Johannes+Brahms,+Wiener+Philharmoniker,+Carlos+Kleiber","Symphony+No.4+In+E+Minor,+Op.98:+4.+Allegro+energico+e+passionato+-+Più+allegro",
"Johann+Sebastian+Bach,+Freiburger+Barockorchester,+Gottfried+Von+Der+Goltz",Violin+Concerto+BWV+1042+in+E+Major:+I.+Allegro,
"Fr_d_ric+Chopin,+Nelson+Freire","Nocturne+No.1+in+B+flat+minor,+Op.9+No.1",
"Robert+Schumann,+Arturo+Benedetti+Michelangeli,+Orchestre+de+Paris,+Daniel+Barenboim","Piano+Concerto+In+A+Minor,+Op.54:+1.+Allegro+affettuoso",
"Franz+Liszt,+Sviatoslav+Richter","Piano+Sonata+in+B+minor,+S.178:+Lento+assai+-+Allegro+energico+-+Grandioso+-+Recitativo",
"+cantabile""","String+Quartet+No.+62+in+C+Major,+Op.+76,+No.+3,+Hob.III:77,+Emperor"":+II.+Poco+adagio",2016-06-27T21:44:26Z
"Fr_d_ric+Chopin,+Arthur+Rubinstein","Ballade+No.+3,+Op.+47+in+A-flat",
"B_la+Bart—k,+Fritz+Reiner","Concerto+for+Orchestra,+Sz.+116,+BB+123:+V.+Finale+-+Presto",
"Ludwig+van+Beethoven,+Emil+Gilels","Piano+Sonata+No.26+In+E+Flat,+Op.81a+-Les+adieux"":+1.+Das+Lebewohl+(Adagio+-+Allegro)""",
"Benjamin+Britten,+Orchestra+of+the+Royal+Opera+House,+Covent+Garden","Peter+Grimes,+Op.33+/+Act+1:+Interlude+II:+The+Storm",
"David+Lang,+Sumi+Jo",Simple+Song+#3,
"Gustav+Mahler,+Wiener+Philharmoniker,+Leonard+Bernstein",Symphony+No.6+In+A+Minor:+3.+Andante+moderato,
"Aaron+Copland,+New+York+Philharmonic,+Leonard+Bernstein",Appalachian+Spring:+Allegro,
"Jean+Sibelius,+Boston+Symphony+Orchestra,+Sir+Colin+Davis","Symphony+No.5+in+E+flat,+Op.82:+3.+Allegro+molto",
"Fr_d_ric+Chopin,+Maurizio+Pollini","12+Etudes,+Op.10:+No.1+In+C",