Artist Name,Track Name
Tove+Lo,Cool+Girl
"Major+Lazer,+Justin+Bieber,+Mø",Cold+Water
"Calvin+Harris,+Rihanna",This+Is+What+You+Came+For
Shawn+Mendes,Treat+You+Better
"DJ+Snake,+Justin+Bieber",Let+Me+Love+You
Ariana+Grande,Into+You
Meghan+Trainor,Me+Too
"Coldplay,+Seeb",Hymn+For+The+Weekend+-+Seeb+Remix
"Drake,+Rihanna",Too+Good
"The+Chainsmokers,+Halsey",Closer
Twenty+One+Pilots,Ride
Joel+Adams,Please+Don%27t+Go
Selena+Gomez,Kill+Em+With+Kindness
"Cheat+Codes,+Dante+Klein",Let+Me+Hold+You+(Turn+Me+On)
DNCE,Toothbrush
"Mike+Perry,+Shy+Martin",The+Ocean
Mø,Final+Song
Demi+Lovato,Body+Say
"Fifth+Harmony,+Fetty+Wap",All+In+My+Head+(Flex)
"Charlie+Puth,+Selena+Gomez",We+Don%27t+Talk+Anymore+(feat.+Selena+Gomez)
"The+Chainsmokers,+Daya",Don%27t+Let+Me+Down
Sia,Cheap+Thrills
"Afrojack,+Ty+Dolla+$ign",Gone
"Jonas+Blue,+JP+Cooper",Perfect+Strangers
"Hailee+Steinfeld,+Grey,+Zedd",Starving
"Drake,+Wizkid,+Kyla",One+Dance
Twenty+One+Pilots,Heathens
Astrid+S,Hurts+So+Good
"Marc+E.+Bassy,+G-Eazy",You+&+Me
Anne-Marie,Alarm
Timeflies,Once+in+a+While
Alessia+Cara,Scars+To+Your+Beautiful
Maty+Noyes,In+My+Mind
"Tinie+Tempah,+Zara+Larsson",Girls+Like+(feat.+Zara+Larsson)
"FRENSHIP,+Emily+Warren",Capsize
Mike+Posner,Be+As+You+Are+-+JordanXL+Remix
Lukas+Graham,Mama+Said
"Handsome+Ghost,+Whole+Doubts",Eyes+Wide
"Cash+Cash,+Digital+Farm+Animals,+Nelly",Millionaire+(feat.+Nelly)
"Pitbull,+Flo+Rida,+Lunchmoney+Lewis",Greenlight
Ledinsky,DonaldTrumpMakesMeWannaSmokeCrack
"Kungs,+Cookin%27+On+3+Burners",This+Girl+(Kungs+Vs.+Cookin%27+On+3+Burners)
Dua+Lipa,Hotter+Than+Hell
Melanie+Martinez,Dollhouse
OneRepublic,Wherever+I+Go
"Martin+Garrix,+Bebe+Rexha",In+The+Name+Of+Love
"Clean+Bandit,+Louisa+Johnson",Tears+(feat.+Louisa+Johnson)
Young+&+Divine,Stay+Cool
"Era+Istrefi,+Post+Malone",Bonbon+-+Post+Malone+Remix
"Matoma,+Becky+Hill",False+Alarm
Terror+Jr,Say+So
ZHU,Hometown+Girl+-+Radio+Edit
"Party+Favor,+Sean+Kingston,+Rich+The+Kid",Give+It+To+Me+Twice+(feat.+Sean+Kingston+&+Rich+The+Kid)
LÄON,Tired+of+Talking
"Betty+Who,+Instant+Karma",I+Love+You+Always+Forever+-+Instant+Karma+Remix